日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
20260729,456929,455977,100.21,49714,58979,84.29
20260728,203999,221822,91.97,87529,97943,89.37
20260727,149664,141537,105.74,74054,67417,109.84
20260724,377130,388388,97.10,49766,44159,112.70
20260723,144955,138529,104.64,74878,62864,119.11
20260722,401658,384361,104.50,49802,42120,118.24
20260721,186995,155817,120.01,85519,80435,106.32
20260720,151759,170328,89.10,60816,73520,82.72
20260717,377448,451306,83.63,42516,45745,92.94
20260716,145245,165037,88.01,67082,71845,93.37
20260715,369841,324234,114.07,35475,34248,103.58
20260714,244774,266738,91.77,101607,102317,99.31
20260713,306532,314037,97.61,74743,60071,124.42
20260709,175220,173682,100.89,96041,80837,118.81
20260708,372357,409020,91.04,67629,52097,129.81
20260707,190714,237611,80.26,101943,103306,98.68
20260706,102948,116695,88.22,86012,70373,122.22
20260703,442908,443706,99.82,64347,47210,136.30
20260702,152726,154372,98.93,87173,72364,120.46
20260701,356449,313466,113.71,59582,41951,142.03
20260630,199066,145119,137.17,103194,76481,134.93
20260629,128431,109264,117.54,82072,66232,123.92
